CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well
d63eb66b,8980,19.6,120,4640,219,21.8,350,3.3,2456,NA,Near Saturation,71800,Medium,0.184,0.57,260,NA,180,200,15.3,19.8,31.15,0.01,90682,0,2912,NA,0.261,NA,0.3029,2.772,NA,2,NA,22.3,18000,0,0,0,300,7,1,NA
5d16e760,3700,16,159,2000,139,21.1,120,26.1,913,1.044,Undersaturated,97700,Medium,0.182,0.68,230,0.398,NA,230,16.8,18.6,38.77,10.42,5431,0,NA,NA,0.28,0.92,0.1691,NA,NA,2,NA,45.2,25000,1800,NA,0,0,12,0,39361.17632310488
b74e92d6,9500,14.6,276,4070,236,20.9,110,7.1,948,1.0614,Undersaturated,NA,Very Strong,0.261,0.73,1630,0.283,1350,770,48.2,53.6,370.36,1704.84,29381,0,79,NA,NA,0.9296,NA,NA,NA,23,35,54.8,63000,183200,NA,0,0,4,0,125843.05034674908
4a524b72,11590,11.5,244,5770,278,31,180,1.6,1037,NA,Undersaturated,8800,Strong,0.289,0.72,1200,0.172,1160,630,55.5,NA,350.16,1675.55,47449,0,136,0.62,NA,NA,0.2551,NA,NA,NA,21,43.9,72000,206500,0,0,0,5,0,85270.72578555322
807c9e61,1190,16,47,5510,104,20.1,670,44.3,5028,1.0406,Full Saturated,125000,Weak,0.101,0.56,10,0.45,0,30,25,NA,7.87,118.37,5269,128.49,669,NA,0.3418,NA,0.401,NA,NA,NA,NA,24.8,3000,19700,NA,24900,NA,139,206,3322.773270764834
6e5eec7a,7430,10.8,191,3630,184,11.6,40,98.5,568,1.037,Undersaturated,74800,Very Strong,0.232,0.54,1010,0.387,610,180,21,25.8,37.95,432,1162,257.33,31,0.51,0.29,0.951,0.43,NA,NA,8,15,20.7,14000,NA,0,47500,NA,4,NA,112548.29594283801
540909cd,8240,42.6,258,4180,185,21.7,110,8.2,824,1.054,Undersaturated,47600,Strong,0.247,0.59,560,0.284,380,1370,23.2,NA,317.46,119.65,26691,0,84,0.42,NA,0.901,NA,NA,NA,6,NA,31.8,120000,30700,0,0,0,14,0,35413.75179251232
457f0a97,3920,14.2,239,6820,127,45.6,2380,0.4,6197,1.3614,Near Saturation,74600,NA,0.144,0.67,30,0.222,20,410,52.6,57.3,213.31,190.58,2284355,575.18,10709,0.53,0.2331,NA,0.26,NA,NA,0,1,26.7,48000,70800,400,NA,15400,NA,82,8119.986862762255
114f3dee,6470,34.4,160,3420,168,26.1,140,5,807,1.05,Undersaturated,NA,Medium,0.232,0.63,300,0.297,NA,830,14.4,19.5,119.87,2.61,12629,0,105,0.37,NA,0.9603,0.4109,NA,2.723,1,4,31.7,89200,500,NA,0,0,27,0,18477.582506934414
7f11b7b3,2590,28.4,90,1690,120,39,310,1.4,1027,1.09,Undersaturated,80900,Weak,0.158,0.63,140,0.314,NA,210,48.1,NA,99.86,576.03,23055,687.86,231,0.65,0.27,0.9664,0.33,NA,NA,1,NA,52.2,NA,40100,0,60100,0,NA,NA,NA
b145650d,3660,20.1,314,2280,142,30.4,320,3,2070,1.13,Undersaturated,110800,Weak,0.129,0.57,120,0.405,70,330,26.2,34.4,85.31,211.35,27334,310.38,320,0.56,NA,0.9,0.2693,NA,NA,NA,NA,22.4,30000,45300,0,NA,0,19,11,NA
3dc33be5,7590,30.8,208,5570,192,42.6,1460,0.3,5042,1.46,Undersaturated,81200,Weak,0.138,0.7,90,0.289,NA,510,38.4,NA,197.54,0,1182724,0,5987,0.3,0.22,NA,0.27,NA,NA,1,NA,20.9,44000,0,200,0,1500,25,6,19338.913385485997
63a6f791,7750,15.2,469,3810,194,42,430,0.6,1457,1.15,Undersaturated,26000,NA,0.235,0.54,250,NA,210,1060,7.8,26.4,82.11,0.04,26610,0,324,0.24,NA,0.76,0.4369,4.32,NA,NA,NA,5.6,87000,200,NA,0,0,16,0,NA
5a690972,5870,17.8,93,3100,167,14.3,30,90.2,364,1.0319,Undersaturated,52800,Strong,0.202,0.55,820,0.336,410,160,26.7,35.2,41.72,142.95,1026,111.62,25,0.51,NA,NA,0.178,NA,NA,4,NA,21.6,15000,29400,0,NA,0,5,1,90305.31898129731
c0dde894,4620,18.9,160,3000,146,22.7,40,23.7,183,1.0251,Highly Undersaturated,NA,Weak,0.247,0.43,350,0.27,NA,340,14.1,18.1,47.51,2.66,1298,0,27,0.34,0.295,NA,NA,NA,NA,2,3,35.6,38000,800,NA,NA,0,13,0,NA
28532829,1590,4.2,178,1250,101,13.3,40,NA,442,1.0208,Undersaturated,116600,Weak,0.153,0.64,110,0.441,60,60,9.3,14.1,5.19,20.24,158,27.46,30,NA,0.34,0.865,0.232,NA,NA,1,NA,8.7,4000,NA,0,18900,0,14,7,33345.22815105697
d4e80360,5870,7.5,219,2770,194,27,340,1.9,NA,1.1251,Near Saturation,78400,Medium,0.143,0.39,260,0.338,150,80,33.1,NA,25.65,15.73,12861,0,501,NA,0.2579,0.95,0.32,3.219,NA,1,3,50.8,7000,3000,0,0,0,7,0,NA
4070f123,8540,21.7,188,4320,188,20.6,NA,11.4,307,1.038,Highly Undersaturated,21000,Strong,0.273,0.75,1080,0.226,760,770,26.3,30.8,202.95,671.04,6787,0,33,0.42,0.2541,0.9085,0.4154,NA,NA,NA,NA,23.9,73000,158300,0,0,0,6,0,NA
25dd974e,3360,23,77,2660,130,24,300,7.6,2428,1.1214,Near Saturation,118200,None,0.124,0.71,90,0.429,40,120,22.8,NA,26.55,233.96,8008,264.35,302,0.56,0.31,NA,0.545,NA,NA,0,1,44.8,12000,17200,0,24400,0,NA,17,NA
2a859d22,5120,19.4,202,2570,176,24.2,160,6.3,1075,1.0637,Undersaturated,73100,Medium,0.151,0.64,280,0.342,NA,360,17.5,NA,62.72,20.77,7385,0,NA,0.41,0.275,0.89,0.31,NA,NA,NA,NA,22.7,28000,5300,0,0,NA,11,0,44281.86423148674
aff571d5,10150,13.1,126,5260,223,32.8,560,0.9,2570,1.2,Near Saturation,49100,Medium,0.23,0.53,220,0.248,190,180,28.3,30.5,51.36,8.34,37225,0,725,0.4,0.2394,NA,0.2453,NA,NA,NA,NA,37.8,19000,1300,0,0,0,7,0,NA
51490e66,8380,23.6,185,4940,172,21.8,190,10.3,1350,1.07,Near Saturation,66700,Medium,0.251,0.72,170,0.31,130,750,16,39.9,120.51,74.13,16757,186.11,139,0.42,NA,0.7753,0.284,NA,NA,2,NA,8.6,74000,50700,0,78800,NA,15,13,30791.871293202275
ba11cc40,4030,20,432,2450,151,17.5,40,106.5,375,1.0269,Undersaturated,NA,Medium,0.212,0.71,340,0.36,200,1290,20.4,24.9,262.06,3165.29,8529,3403.96,33,0.49,0.302,0.7715,0.33,NA,NA,8,NA,51.8,96400,193700,0,232500,NA,14,6,NA
28bb914b,8560,26.8,154,4190,202,31,120,2.4,635,1.0573,Undersaturated,NA,NA,0.268,0.69,690,0.223,600,870,29.2,29.4,254.14,241.82,23400,0,92,0.39,NA,NA,0.28,NA,NA,5,NA,57.2,70000,40800,0,0,NA,9,0,55771.78589979303
7c1654d9,4730,3.4,238,3010,137,32,680,1.1,2652,1.23,Near Saturation,97100,Weak,0.129,0.65,110,0.359,70,50,39.7,40,20.43,188.05,10431,212.05,511,0.61,NA,0.68,0.3128,NA,NA,1,NA,57.6,5000,11200,0,11300,0,5,2,NA
5d58feaf,6320,17.9,175,3950,147,32,370,2.1,1649,1.1151,Undersaturated,78300,Weak,0.21,0.5,160,0.313,140,330,18.2,41.1,60.28,7.16,16874,70.82,280,NA,NA,0.957,0.37,NA,1.94,1,NA,8.2,27000,10600,0,37100,NA,12,7,NA
7d16e349,2230,5,172,3010,120,40,760,0.8,NA,1.16,Undersaturated,96400,NA,0.113,0.48,70,0.324,40,50,50.6,57.8,24.29,94.55,18439,127.51,759,0.67,NA,NA,0.31,NA,1.469,0,1,28.3,6000,15000,0,20800,0,16,10,27398.071173219796
7a6b078e,8610,34.4,317,4840,179,33.7,70,2.3,268,1.038,Highly Undersaturated,11000,Medium,0.288,0.86,420,0.175,400,2870,18.4,23.2,528.54,45.98,27266,0,52,0.27,0.25,0.9683,NA,NA,NA,NA,NA,42.6,306100,12900,0,0,0,16,0,NA
5c145a25,1070,32,276,860,107,19.5,80,37.2,482,1.027,Undersaturated,120400,Weak,0.119,0.66,100,0.441,40,470,22,24.7,103.72,995.7,6126,1107.3,59,NA,0.334,NA,NA,NA,2.387,2,NA,29.5,56000,NA,NA,227800,NA,58,NA,7335.072982538058
240cc12f,2750,7.9,195,3810,122,42.5,940,0.8,3456,1.23,Undersaturated,114300,Weak,0.119,0.8,30,0.389,20,140,42.3,45.3,60.66,298.72,57290,386.45,944,0.65,0.29,0.823,0.37,NA,NA,NA,1,33.3,13000,38400,0,43000,0,NA,29,NA
14358dd3,8550,8.2,282,4840,169,46,570,0.6,1759,1.19,Undersaturated,19100,Weak,0.277,0.56,110,0.167,100,360,52.2,64,187.42,89.52,79650,304.3,425,0.6,0.22,0.88,0.16,NA,NA,1,2,25.3,27000,33100,0,45500,0,12,7,35073.31841989799
dc1e06ef,9140,27.9,408,4370,220,24,370,2.3,2402,1.14,Near Saturation,67300,NA,0.192,0.45,410,0.316,290,850,19.5,24.9,166.09,6.83,641718,0,3864,0.34,0.243,0.92,0.362,NA,NA,7,NA,39.8,67000,3200,100,0,NA,7,2,62484.42706635937
b1476fd8,9330,7.8,243,4600,217,36.8,740,0.5,NA,1.2757,Undersaturated,49300,Medium,0.19,0.68,220,0.243,180,240,37.1,38.9,89.03,20.03,65206,0,NA,NA,0.23,0.86,0.29,NA,NA,3,NA,14.8,29000,9000,NA,0,0,7,0,NA
40a31a07,3320,28.3,418,1730,132,25.7,140,6.2,785,1.0511,NA,82200,NA,0.151,0.63,240,0.358,140,990,12.5,15.6,123.28,0.48,12405,0,101,0.39,0.276,0.6876,NA,NA,NA,NA,NA,17.2,71000,100,0,0,0,17,0,NA
79bd0515,11470,21.8,287,5730,231,44.5,600,0.4,2166,1.225,Undersaturated,9900,Strong,0.274,0.74,460,0.163,480,1320,41,40.8,542.14,328.69,245685,0,453,0.44,NA,0.764,0.356,NA,1.5,11,10,37.6,138000,49100,100,0,0,6,0,NA
d2e01bbe,4740,5.3,70,2300,161,44.2,170,0.9,NA,1.06,Highly Undersaturated,22900,Medium,0.238,0.83,300,0.189,270,90,31.5,35,28.08,6.86,3676,0,131,NA,0.226,0.9728,0.263,NA,1.41,1,2,20.1,8000,2000,0,NA,NA,9,0,56549.406040407484
68571174,1580,20.5,42,1170,107,NA,30,195.4,173,1.019,Highly Undersaturated,94900,Weak,0.179,0.58,240,0.406,100,60,11,17.9,6.89,37.68,143,45.62,21,0.47,0.3232,0.875,0.537,NA,NA,0,1,11.6,5000,13800,0,21500,0,32,16,NA
ccce1288,2880,20.7,111,2010,124,13.9,40,NA,412,1.02,Undersaturated,101500,Medium,0.175,0.66,260,0.423,110,190,12.5,13.6,23.84,462.92,644,487.13,27,0.49,NA,NA,0.3444,NA,NA,NA,NA,44.8,15000,30600,0,34900,0,NA,8,33480.1470509934
898a2c7e,1010,8.1,241,990,105,35.7,170,3.7,904,1.059,NA,123900,None,0.101,0.67,60,0.447,20,90,29.2,32.3,25.3,247.94,4348,276.66,172,0.61,0.32,NA,0.429,NA,NA,1,1,56.2,10000,24000,0,40800,NA,21,22,NA
fd260815,8110,NA,289,4740,147,19.8,100,16.8,745,1.04,Undersaturated,51600,Medium,0.269,0.7,250,0.285,210,860,27.2,30.5,233.21,1600.07,17448,1788.2,75,0.48,NA,0.893,NA,NA,NA,3,NA,58.9,66000,86500,0,89100,0,10,5,42250.60910688888
a85b7e36,1240,8.7,376,1030,98,34,NA,3.4,NA,1.0662,Undersaturated,115800,None,0.122,0.76,50,0.418,30,230,1,1.1,2.41,0,423,1.19,176,0.32,NA,0.67,0.376,NA,NA,1,NA,10.9,11700,0,0,79100,NA,25,NA,19324.295480125817
ca5a1d6d,10560,26.2,157,5330,214,13.8,40,38.3,484,1.0408,Undersaturated,33400,Very Strong,0.295,0.8,1320,0.277,1410,940,25.8,35.4,242.58,1340.12,7159,528.66,30,0.46,0.25,0.73,0.188,NA,NA,NA,18,22.7,102000,234000,NA,88800,0,5,1,84610.69588546758
79565372,1580,15.1,56,1480,101,21.9,200,27.3,1369,1.055,Near Saturation,121200,None,0.131,0.76,60,0.44,20,70,17.5,24.4,12.64,19.47,1894,33.68,150,0.54,0.335,0.911,0.213,NA,NA,0,NA,10.4,6000,11200,0,20800,0,41,36,10793.628298548738
c0a946cd,9460,27.8,194,4750,226,17.6,110,14.3,1144,1.06,Near Saturation,46800,Medium,0.218,0.76,740,0.299,470,760,33.8,34.9,257.44,1668.16,20545,1565.69,80,0.53,0.27,NA,0.35,NA,NA,9,10,58.8,66000,109900,0,84700,NA,6,2,NA
becc8e90,3610,11.1,404,2510,126,38.7,190,2.1,653,NA,Highly Undersaturated,64100,Weak,0.228,0.64,190,0.277,NA,640,37.2,40.6,237,1253.48,33291,1504.5,140,NA,NA,0.709,0.34,NA,NA,4,NA,48.9,47000,89000,0,NA,0,12,7,39993.72436611011
0ffd23e3,4180,16.9,135,2300,151,34.9,550,1.3,2276,1.1906,Near Saturation,97900,Weak,0.129,0.68,190,0.369,120,140,37.4,43.2,53.88,75.57,22285,138.37,414,NA,0.2704,NA,0.3133,NA,NA,2,2,21.3,16000,18900,0,21900,0,7,5,59184.6098793471
96eb6ec7,11880,28.8,218,5960,262,23.1,40,3.9,215,1.0457,Highly Undersaturated,1500,Very Strong,0.3,0.77,3230,0.153,3250,1740,46.9,51.4,818.18,2685.3,24216,0,30,0.54,NA,0.7,0.1477,NA,NA,53,NA,30.9,184000,653300,0,0,NA,4,0,126796.67356610735
c5d1fc25,10160,19,203,6680,205,33.9,1600,0.3,6086,1.69,Near Saturation,92000,Weak,0.194,0.51,120,0.318,NA,290,37.1,37.9,106.13,116.81,2345143,234.16,22096,0.46,0.2374,NA,0.51,NA,NA,NA,1,57.3,23000,9800,100,29400,100,14,12,36842.67711703017
d477fb5e,3470,34.8,243,1800,154,24.1,200,5,1633,1.0947,Undersaturated,NA,Weak,0.116,0.75,160,0.406,70,580,8.7,12.7,50.35,0,324474,0,6444,NA,0.284,NA,0.2253,NA,NA,2,NA,28.1,38800,0,NA,0,NA,23,NA,18010.01804620635
26af3fad,6010,32.9,387,2880,177,19.1,140,NA,1288,1.0628,Near Saturation,79000,Strong,0.159,0.66,430,0.365,230,1130,7.9,21.6,89.22,1.14,9565,0,107,0.41,0.275,NA,0.127,NA,2.5,10,12,5.4,91000,4900,0,0,NA,10,0,50311.767346244305
8f24940d,5600,30.7,408,2930,142,37.7,660,0.4,NA,1.321,Undersaturated,78400,Weak,0.167,0.81,180,0.286,140,1590,45,NA,713.89,698.13,4848129,1506.8,6791,0.55,0.23,0.72,0.227,NA,NA,4,8,46.9,141000,84000,300,NA,NA,24,17,20120.90889017927
3f17843b,1570,18.8,158,1100,111,24.3,100,14.7,533,1.0334,Undersaturated,103700,Weak,0.132,0.57,120,0.406,60,170,24.7,37.6,42.05,81.46,3173,127.99,NA,0.55,0.3103,NA,0.30620000000000003,NA,NA,NA,NA,14.8,16000,30100,0,56700,0,27,19,18741.301536530955
f2975ecb,1950,17.7,228,1360,109,39.3,270,1.9,870,1.08,Undersaturated,96300,Weak,0.17,0.63,120,0.355,80,320,34.8,47.8,110.3,87.23,22014,210.51,200,0.58,0.276,0.64,0.2639,NA,2.32,NA,NA,15.8,30000,46600,0,92600,0,32,17,NA
ec2540c6,11270,9.3,285,5360,238,11.8,10,22.7,173,1.04,Highly Undersaturated,14100,Very Strong,0.294,0.55,7960,0.252,6710,470,29.4,38.4,137.69,536.24,1474,1057.57,11,0.47,NA,NA,0.3061,NA,NA,87,188,12.9,44000,510900,0,385300,0,4,1,114563.36984684458
2eff9a8f,6630,10.8,64,3300,172,42.3,780,0.5,2605,1.28,Undersaturated,67800,NA,0.182,0.68,130,0.273,100,70,50.5,NA,35.53,86.4,20841,129.7,587,0.64,0.2323,NA,0.53,NA,2.37,0,NA,35.9,NA,10000,0,10700,0,12,6,36802.43932286248
6cb0e432,5260,7.5,247,3160,142,17.9,40,63.9,358,1.03,Undersaturated,NA,Medium,0.239,0.71,390,0.32,NA,280,26.4,29.4,73.86,755,2402,774.97,33,0.5,NA,0.92,0.42,NA,NA,5,NA,46.2,25000,53900,NA,51700,0,6,NA,NA
c37d4e83,2570,19.3,244,1990,124,27.6,250,8.2,1425,1.0731,Near Saturation,108700,Weak,0.128,0.42,100,0.407,50,180,28.1,27.4,51.75,469.5,9855,526.61,190,0.57,NA,0.912,0.3228,NA,NA,1,NA,49.6,17000,32200,0,52800,0,NA,20,NA
d0900e18,11510,8.4,217,5770,244,34.7,1580,0.2,5081,1.6208,Near Saturation,43300,Medium,0.243,0.6,240,0.219,210,330,34.8,NA,116.47,0.04,528072,0,4534,NA,0.211,NA,0.4831,NA,NA,2,NA,15.8,37000,0,100,0,NA,8,2,64130.93527797682
0c2b2178,3390,19.3,411,5700,129,41.8,1700,0.6,5165,1.2318,Near Saturation,113200,None,0.12,0.67,50,0.376,40,560,45.5,53.7,256.75,168.76,3565447,541.07,13887,0.59,0.25,NA,NA,NA,NA,1,NA,32.3,62000,36600,400,127600,NA,NA,33,15031.713099220178
f53b5bfd,6380,12.7,214,3720,162,36.8,170,1.7,NA,1.06,Highly Undersaturated,NA,Medium,0.242,0.51,190,0.222,NA,360,32,41.3,114.4,111.77,14859,220.19,130,NA,0.25,NA,0.4198,NA,NA,NA,NA,19.2,27000,43300,0,50100,0,12,NA,35449.431092284794
6301b2ec,8790,15.7,189,4250,213,21.9,110,4.8,776,1.059,Undersaturated,NA,Very Strong,0.233,0.82,730,0.25,620,610,38.7,40.5,236.67,510.26,19960,0,84,0.52,0.2478,0.76,0.23,NA,NA,9,NA,45.7,63000,86900,NA,NA,0,6,0,84831.23846827657
6bf5bdb6,5330,20.4,216,3390,138,22.2,220,8.6,1385,1.07,Near Saturation,88000,Weak,0.177,0.69,110,0.361,70,410,37.7,43.8,156.21,965.51,25543,1132.22,164,0.6,0.294,NA,0.448,NA,NA,1,NA,59.8,34000,54000,0,66800,NA,28,10,14883.14508004218
fe19563c,4640,6.7,345,4220,148,19.1,400,12.5,3843,1.12,Full Saturated,119900,Weak,0.112,0.47,110,0.436,50,110,2.1,2.3,2.38,0,954,0.36,401,0.34,NA,NA,0.3266,NA,NA,1,NA,14.7,NA,100,0,23200,6700,9,7,51031.52863273281
7198ebbe,4140,18.3,258,2670,134,44.3,410,0.9,1253,1.1253,Undersaturated,48900,NA,0.196,0.5,130,NA,120,540,48.4,52.3,262.88,586.54,79963,885.87,304,0.6,0.25,NA,0.4118,NA,2.24,2,NA,46.2,51000,53900,0,85700,0,18,11,28530.826676552533
41a1a742,7750,23.7,183,3780,214,42.6,NA,0.3,2572,1.316,Undersaturated,29500,Medium,0.193,0.41,170,0.187,150,390,20.2,21.9,78.25,0.05,135292,0,1729,0.24,0.217,0.82,0.384,NA,NA,1,1,55.2,NA,0,0,0,0,16,0,28261.99825097574
9ecc8ab9,7200,14.8,130,3380,181,29.5,300,1.5,1550,1.115,Undersaturated,57500,Strong,0.165,0.7,330,0.289,200,200,30.5,33.1,61.63,37.31,20661,0,335,0.45,0.248,NA,0.4278,NA,NA,NA,NA,35.6,25000,5700,0,0,NA,6,0,81683.57341017108
973a38a6,2710,17,236,2510,114,23.4,130,20.2,720,1.04,Undersaturated,102100,Weak,0.2,0.66,90,0.39,60,420,12.9,30.3,53.68,38.26,5160,94.66,96,0.47,0.3221,0.72,NA,NA,NA,NA,NA,9.2,37000,38000,0,85300,0,25,16,17283.665117617697
ecf4a137,3440,33.6,120,5040,120,47,1500,0.5,4591,1.358,Undersaturated,NA,NA,0.138,0.52,20,0.344,20,230,37.6,55.1,84.77,3.36,254872,119.15,3007,0.53,NA,NA,NA,NA,NA,0,NA,18.5,18000,3100,100,53200,100,144,164,NA
6a50458e,3270,21.1,367,2070,128,25.4,NA,8.6,821,1.0479,Undersaturated,88200,NA,0.162,0.67,140,0.366,90,680,35.5,40.7,242.39,867.4,26827,1127.3,111,0.59,0.29,0.858,0.32,NA,3,2,NA,31.7,50000,109600,0,145400,0,27,15,17883.83180492674
c98e1523,10120,23.1,165,3980,229,33.3,690,0.4,3610,1.368,Near Saturation,61800,Very Strong,0.171,0.76,630,0.282,460,460,45.5,46.1,209.26,392.88,240896,0,1151,NA,0.199,NA,0.435,NA,3,NA,NA,42.2,56000,NA,100,NA,NA,7,0,66600.66777694572
ef22a3ac,11800,9.2,263,5910,219,44.2,NA,0.3,NA,1.2632,Undersaturated,2700,Medium,0.297,0.8,520,0.151,500,620,52.8,58.8,329.65,559.48,180799,0,548,NA,NA,0.8918,0.305,NA,NA,11,14,54.4,46000,88500,0,0,0,5,0,NA
66de4d79,3900,21.7,221,2350,131,26.7,230,4.5,1144,1.07,Undersaturated,95000,Weak,0.199,0.7,110,0.369,80,480,29.3,47.4,139.93,88.07,24461,240.48,175,0.55,NA,NA,NA,NA,NA,NA,NA,13.2,54000,46700,0,78000,NA,23,15,22070.50458612629
f9b759df,3430,31.9,234,1620,151,20.6,40,19,236,1.03,Highly Undersaturated,49700,Strong,0.171,0.61,750,0.315,430,800,14.6,23.5,116.17,12.58,3421,0,29,0.41,NA,NA,0.302,NA,2.982,NA,NA,8.7,95000,10900,0,0,NA,10,0,48713.974692079355
d3460c83,7410,12.8,130,3010,203,19.9,40,10,293,1.0385,Highly Undersaturated,28100,NA,0.27,0.58,2140,0.255,1440,310,30.9,NA,95.42,467.91,2915,0,31,0.48,0.232,0.976,0.37,NA,2.46,15,NA,24.2,31000,104200,0,0,NA,4,0,104487.87172501325
de195215,4560,8.2,220,3500,NA,44.1,860,0.4,3167,NA,Undersaturated,70600,Weak,0.136,0.48,180,0.259,140,110,31.6,NA,34.19,1.54,173093,42.86,5062,0.43,0.22,NA,0.36,NA,NA,2,NA,17.6,NA,1700,0,24000,4600,9,NA,NA
81adc800,1950,28.8,218,8020,109,35,2420,1.9,7300,1.1129,Near Saturation,NA,Weak,0.102,0.45,20,0.446,10,230,28.6,NA,66.35,54.71,171062,196.8,2578,0.61,0.295,NA,0.363,NA,NA,0,NA,50.7,22000,73700,200,94700,0,178,196,NA
f4ea0d9c,3260,13.8,117,1810,125,27.3,160,8,942,1.0554,Undersaturated,92300,Medium,0.149,0.63,180,0.379,100,120,15.7,17.2,19.47,0.56,6479,0,333,0.43,0.28,0.64,0.18,NA,NA,1,2,36.2,11400,200,NA,0,0,13,0,33325.901251401345
da6355b8,10430,11.4,134,5110,240,13.7,370,6.3,4145,1.15,Full Saturated,NA,Strong,0.151,0.55,490,0.398,270,110,24,26.7,25.36,62.02,64378,79.66,2539,0.49,0.2694,NA,0.2324,5.909,NA,2,NA,36.7,8000,28500,0,7600,NA,5,2,NA
17d938de,7200,18.6,337,3520,195,27.4,490,1.3,3189,1.2334,Near Saturation,99000,Medium,0.144,0.71,110,0.373,80,530,27.6,NA,147.34,1.81,413029,150.86,2803,0.49,NA,NA,0.176,2.32,NA,2,NA,18.9,45000,2200,NA,77000,NA,15,11,27906.16864567157
20a52da6,2440,13.7,287,1590,126,16.8,30,NA,271,1.02,Highly Undersaturated,87300,Medium,0.173,0.5,310,0.398,160,330,9.7,NA,32.03,588.52,751,621.53,23,NA,0.32,0.8102,0.452,NA,1.604,3,4,30.3,19000,61700,0,77000,NA,17,7,24683.950670430204
d043e53c,11970,21.9,129,5980,231,31,40,1.6,161,1.046,Highly Undersaturated,1000,Very Strong,0.3,0.86,5560,0.15,NA,910,50.6,53.8,457.81,2346.37,14824,0,32,0.57,0.195,0.9866,0.2146,NA,NA,42,69,25.2,97000,460800,0,0,0,4,0,120731.18113160745
3e88cb95,5460,NA,431,3160,147,40.4,570,0.8,2002,1.188,Undersaturated,74500,Weak,0.172,0.79,170,0.294,130,1580,26.3,48.4,415.96,70,176500,560.4,424,NA,0.2563,0.7866,0.27,NA,NA,2,NA,12.8,135000,81400,100,215700,0,42,13,10091.335961474606
ea2eb71d,8320,11.7,118,4620,183,12.6,10,290.8,23,1.027,Very Highly Undersaturated,32200,Very Strong,0.29,0.5,1980,0.319,1570,180,21.3,23.9,38.19,508.51,186,223.03,5,NA,0.309,NA,0.22,NA,NA,NA,NA,16.4,18000,148200,0,60400,0,4,1,NA
9f1ddcd8,1690,11.5,210,1440,93,14.7,60,742.5,NA,1.024,Undersaturated,115900,Weak,0.121,0.67,160,0.439,60,140,6.5,11.3,9.01,39.44,381,49.7,42,0.48,0.34,0.7699,0.402,NA,NA,1,NA,8.8,10300,22900,0,41300,0,13,5,32584.189885406075
b738365a,3560,8.2,44,1750,162,20,160,8.7,1602,1.079,Near Saturation,108500,Strong,0.121,0.68,310,0.42,NA,20,24.9,NA,4.75,5.62,741,0,156,0.52,NA,0.6573,0.1719,NA,NA,1,NA,13.7,2000,2000,0,0,0,7,0,72954.55590067348
6b8113ef,3130,26.2,167,1540,164,33.7,NA,2.2,695,1.06,Undersaturated,70800,Medium,0.161,0.48,270,0.318,160,290,16.8,16.5,48.35,0.24,15623,0,323,0.36,0.257,0.7193,0.3255,NA,2.46,NA,2,47,24500,0,0,0,0,15,0,32335.381563246483
8a5e2430,8280,6.5,215,4950,187,20,30,31.9,252,1.03,Highly Undersaturated,18900,Medium,0.269,0.63,500,0.219,350,280,20.1,22.6,56.8,84.01,1407,0,25,0.36,0.298,NA,0.233,NA,1.95,5,NA,14.7,23000,43500,NA,NA,0,5,0,91574.49981982936
d07952aa,5040,12.2,234,3180,145,21.3,100,13.7,615,1.04,Undersaturated,63200,Medium,0.198,0.69,190,0.316,140,360,32.8,37.5,118.77,652.38,8753,768.62,74,0.54,0.295,0.91,0.294,NA,1.725,1,NA,43.4,39000,52400,0,63400,0,18,6,24825.754283729475
0a85990b,7590,30.9,229,3630,NA,43.7,360,0.6,1191,1.129,Highly Undersaturated,21400,NA,0.232,0.6,340,0.183,NA,1150,18.6,21.3,212.87,5.71,55983,0,263,0.27,NA,NA,0.491,NA,NA,2,5,35.9,131900,800,0,0,0,25,0,NA
17326eb9,4620,19.7,240,4000,146,42,1000,0.5,3637,1.29,Undersaturated,NA,NA,0.138,0.42,120,0.323,NA,240,48.4,55.9,117.28,56.61,726347,206.93,NA,NA,0.24,0.83,0.208,NA,NA,1,1,35.9,18000,16600,100,53800,13500,26,20,NA
b9b16a57,10070,22.4,138,5390,214,22.5,330,3.1,NA,1.123,Near Saturation,53900,Medium,0.213,0.81,220,0.279,NA,570,14.9,NA,84.11,0.15,452216,0,5376,NA,0.27,NA,0.32,NA,NA,NA,3,39.8,50000,300,0,0,NA,14,NA,33462.46342990074
aef5c645,6350,19.6,263,3760,153,15.1,170,32,1581,1.06,Near Saturation,93300,Weak,0.185,0.67,170,0.387,110,500,22.5,26,111.72,978.45,14023,1083.66,NA,0.52,0.3,0.6741,0.472,NA,NA,3,NA,56.2,50800,53900,0,55800,NA,10,7,42376.41507234948
