CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well
1ec6d673,5270,NA,250,2310,180,25.7,190,3.3,1097,1.07,Undersaturated,69300,Strong,0.161,0.58,420,0.329,280,380,26.6,26,99.98,65.03,23192,0,232,0.45,NA,0.88,0.54,NA,NA,NA,5,36.2,33000,11000,0,NA,NA,7,0,62723.82766623716
5bba55c6,9930,23.8,213,4690,231,19.2,60,8.7,499,1.05,Undersaturated,18400,Very Strong,0.272,0.56,1900,0.222,1490,890,27.3,NA,243.82,1375.92,10452,0,43,NA,0.24,NA,0.5671,NA,NA,15,28,56.7,90000,225600,0,0,0,6,0,70870.75349316001
2b54cb43,9060,18.5,449,3960,217,20.9,270,3.9,2145,1.1123,Near Saturation,67200,Very Strong,0.189,0.61,700,0.331,480,840,29.6,39.8,250.07,331.03,49884,0,199,NA,NA,0.776,0.331,NA,NA,12,21,14.7,92000,107400,0,0,NA,6,0,NA
c07aade9,11210,21.3,163,5410,237,41.9,390,0.5,1457,1.1519,Undersaturated,6600,Very Strong,0.272,0.77,910,0.16,NA,840,53.5,60.6,448.3,651.62,131744,0,294,0.6,0.197,NA,NA,2.92,2.271,8,NA,35.9,90000,89800,0,0,NA,6,0,NA
5198ef97,2040,10.3,140,3670,129,NA,870,1.1,3338,1.12,Undersaturated,NA,Weak,0.103,0.74,80,0.403,NA,110,2.7,2.7,2.85,0,1475452,0.69,NA,0,0.27,0.88,0.389,NA,NA,1,1,32.2,11000,0,0,NA,NA,23,NA,18699.335118255873
85062e5c,2680,14.5,151,1500,137,17.5,50,77.1,437,1.0276,Undersaturated,91100,Medium,0.18,0.68,340,NA,NA,200,25.3,NA,51.59,478.05,2079,531.54,NA,NA,0.295,NA,0.31,NA,NA,3,4,36.3,19000,43500,0,49100,0,12,5,42371.88385223126
ecce16a1,7560,9.4,363,3860,198,20.5,160,9.2,1281,1.066,Near Saturation,65700,Medium,0.2,0.65,400,0.327,NA,370,23.6,25.7,86.7,192.91,10099,0,116,0.47,NA,0.8049,0.5,NA,NA,4,NA,58.9,41000,33900,0,0,0,6,0,84167.96368466166
769044f0,10400,18.2,254,5010,253,15.5,60,20.5,818,1.051,Undersaturated,38100,Very Strong,0.256,0.73,1690,0.297,1430,870,35.2,40.6,306.31,2378.96,13947,1312.67,46,0.54,0.25,0.749,0.5,NA,NA,23,NA,30.9,71000,365700,0,166700,0,5,1,95521.84025831753
e95ff0fb,10800,27.7,93,7040,224,47,2200,0.2,6411,1.9412,Near Saturation,26500,Weak,0.211,0.51,180,0.169,190,290,42.7,NA,122.92,1.36,1432838,77.38,11657,0.26,0.201,NA,0.34,NA,2.21,1,1,25.5,27000,500,NA,21200,NA,13,NA,35406.693246392446
6ff91e97,10030,23.4,276,5060,224,37.1,760,0.5,2750,1.28,Undersaturated,42600,Medium,0.243,0.67,180,0.221,190,1050,22.2,NA,232.01,9.22,296871,0,1280,0.33,0.219,0.96,0.301,NA,1.965,NA,NA,25.6,78000,2300,100,0,NA,NA,0,NA
